Star Rating,Rating Text
4.3 out of 5 stars,"
  Super disappointed when I got this phone. I rarely leave reviews but when I opened this phone I was aggravated. Screen has scratches and the outside edges of the phone are dirty. This is clearly not a refurbished phone, so it should not be advertised as such. Now I have to wait for another one which is even more aggravating!
"
5.0 out of 5 stars,"
  I purchased a refurbished iPhone x, it arrived on time, came in clean , and with a charger.... i was excited about this phone because my other phone was stolen 3 months ago, i got a job and saved up to be able to afford a new one. We tried to set up the service with total wireless and the phone kept repeating the message that the sim card was not compatible.... so we bought another sim card and service plan by t mobile and got the same thing.... went into apple the next day to try to see if their was anything wrong with the phone... turns out their was nothing wrong with the phone, but the phone already had another service plan with at&t that wasn't even payed off.... so after wasting 10 hours off my time, and spending $60 (besides the $690 phone price)  trying to set this stupid phone up with a service plan... i would review this 0 stars if i could
"
1.0 out of 5 stars,"
  This IPhone X has been phenomenal. The speed at which it operates is Incredible. If you are questioning this buy, don’t. It’s a wonderful deal. I’ve not had one issue thus far, and will most certainly update this review if I have one within the warranty period. I recommend getting a tempered glass screen and a good case—this phone is glass front and back.
"
1.0 out of 5 stars,"
  I loved how new this phone looks and works. Everything works and the battery life was at 94% which is very good. I am very glad with this purchase and definitely recommend buying from them. Very skeptical before buying but now having the product it is definitely worth a buy if you are looking for a good phone.
"
1.0 out of 5 stars,"
  I was very skeptical when ordering this product because of the negative reviews, but this was MORE than worth the money. Had no scratches or anything. Worst thing I found was cosmetic wear on the edges (in the picture uploaded). Battery is at 92% capacity and it works like a dream. Only minor inconvenience was having to update the phone before I could download the backup from my old phone. Came fully unlocked as promised and with an off brand charger that works fine.
"
5.0 out of 5 stars,"
  I picked 2 day shipping to get it delivered 5 days later. Upon receiving I tried to power it on. To no response. I went  to charge it on the charger that was given to get the charging screen for 30 minutes. I then used my other charger for 4 hours to no results. The quality of charger and charger brick was very poor. Did not come with EarPods. I sent it back Now I hope I get my refund quickly for amazon guarantee.
"
5.0 out of 5 stars,"
  While the phone looked perfect and seemed as if it functioned well, it would not connect to  carrier that it says it is made for- Verizon, despite being advertised as being unlocked for Verizon Service. I have a traditional monthly (NOT a pay as you go account). I was very disappointed. The only option offered was to return it for a refund."
5.0 out of 5 stars," I have sent the seller a message and requested they send me a replacement device. That is a shame. :( For those who question my knowledge, I took it directly to Verizon and they also tried multiple sim cards in it and none worked. The phone continued to display NO SERVICE. They went through all of the normal fixes and could not get it to function properly. I will update this review if a MIRACLE occurs and I am suddenly able to get service.
"
5.0 out of 5 stars,"
  So before I made this purchase, I read through a lot of reviews on a lot of different sellers who had iPhone X's for sale. This one seemed to have the most consistent positive stream of reviews, although every single listing I came across had at least a few people reporting bad experiences. Buying something Amazon Renewed seems like it's always a risk, so I suppose you may have a bad experience, but the phone I received came on time, and was essentially in flawless condition. It came with a tempered glass screen protector already on, and the battery health was at 92%, supporting peak performance capabilities. The cameras are crisp, no damage to them at all, and the speakers sound great. No SIM/WiFi/Bluetooth connectivity issues whatsoever, and really I was pleasantly surprised at how great this phone is. The only thing was that in a couple of the crevices on the phone, chiefly around the camera's protrusion, there was a tiny bit of dirt/grime, but a toothpick and alcohol did the trick. Overall I would say this is a great purchase, as iPhone X's are currently going for $899+tax (new) from Best Buy, and this was almost new for $559+tax (~$611). Would recommend!
"
5.0 out of 5 stars,"
  It’s was a bad phone and they didn’t refund all of my money when I returned it 🙄
"
